year,month,day,Sample,Age (in months),Traffic,Sn
2022,5,9,5,33,0.902156865,325
2022,5,9,6,33,0.90492758,326
2022,5,9,7,33,0.907698295,327
2022,5,9,8,33,0.91046901,328
2022,5,9,9,33,0.913239725,329
2022,5,9,10,33,0.91601044,330
2022,6,7,1,34,0.918781155,331
2022,6,7,2,34,0.92155187,332
2022,6,7,3,34,0.924322585,333
2022,6,7,4,34,0.9270933,334
2022,6,7,5,34,0.929864015,335
2022,6,7,6,34,0.93263473,336
2022,6,7,7,34,0.935405445,337
2022,6,7,8,34,0.93817616,338
2022,6,7,9,34,0.940946875,339
2022,6,7,10,34,0.94371759,340
