S.No,Date,Time,Months,Sample,Gmb,Gmm,Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic,"Air Voids, Va"
75,20-10-2024,Month 14,14,5,2.357,2.505,4.8,94.1,2.697,2.560,99.88,94.08,94.0,6.3,2.1,2.7,375507,5.9
76,20-10-2025,Month 14,14,6,2.364,2.505,4.8,94.4,2.697,2.560,99.86,94.36,94.2,6.0,2.1,2.7,375507,5.6
77,20-10-2026,Month 14,14,7,2.359,2.505,4.9,94.2,2.702,2.560,99.83,94.16,94.0,6.2,2.1,2.8,375507,5.8
78,20-10-2027,Month 14,14,8,2.353,2.505,4.9,93.9,2.702,2.560,99.81,93.92,93.7,6.5,2.1,2.8,375507,6.1
79,20-10-2028,Month 14,14,9,2.381,2.505,5,95,2.706,2.560,99.78,95.04,94.8,5.2,2.2,2.8,375507,5.0
80,20-10-2029,Month 14,14,10,2.366,2.505,5,94.5,2.706,2.560,99.76,94.44,94.2,5.9,2.2,2.8,375507,5.5
81,12/11/2020,Month 15,15,1,2.406,2.505,5,96.1,2.706,2.560,99.98,96.05,96.0,4.1,2.2,2.8,403318,4.0
82,12/12/2020,Month 15,15,2,2.358,2.505,5,94.1,2.706,2.560,99.95,94.13,94.1,6.2,2.2,2.8,403318,5.9
83,12/13/2020,Month 15,15,3,2.382,2.505,5.2,95.1,2.716,2.560,99.93,95.09,95.0,5.2,2.3,2.9,403318,4.9
84,12/14/2020,Month 15,15,4,2.322,2.505,5.2,92.7,2.716,2.560,99.91,92.69,92.6,7.9,2.3,2.9,403318,7.3
85,12/15/2020,Month 15,15,5,2.328,2.505,4.9,92.9,2.702,2.560,99.88,92.93,92.8,7.6,2.1,2.8,403318,7.1
86,12/16/2020,Month 15,15,6,2.324,2.505,4.9,92.8,2.702,2.560,99.86,92.76,92.6,7.8,2.1,2.8,403318,7.2
87,12/17/2020,Month 15,15,7,2.359,2.505,5.1,94.2,2.711,2.560,99.83,94.16,94.0,6.2,2.3,2.8,403318,5.8
88,12/18/2020,Month 15,15,8,2.31,2.505,5.1,92.2,2.711,2.560,99.81,92.20,92.0,8.4,2.3,2.8,403318,7.8
89,12/19/2020,Month 15,15,9,2.38,2.505,4.8,95,2.697,2.560,99.78,95.00,94.8,5.3,2.1,2.7,403318,5.0
90,12/20/2020,Month 15,15,10,2.381,2.505,4.8,95,2.697,2.560,99.76,95.04,94.8,5.2,2.1,2.7,403318,5.0
91,10/12/2020,Month 16,16,1,2.361,2.505,4.4,94.2,2.679,2.560,99.98,94.25,94.2,6.1,1.8,2.6,431265,5.7
92,10/13/2020,Month 16,16,2,2.328,2.505,4.4,92.9,2.679,2.560,99.95,92.93,92.9,7.6,1.8,2.6,431265,7.1
93,10/14/2020,Month 16,16,3,2.358,2.505,4.9,94.1,2.702,2.560,99.93,94.13,94.1,6.2,2.1,2.8,431265,5.9
94,10/15/2020,Month 16,16,4,2.322,2.505,4.9,92.7,2.702,2.560,99.91,92.69,92.6,7.9,2.1,2.8,431265,7.3
95,10/16/2020,Month 16,16,5,2.26,2.505,4.4,90.2,2.679,2.560,99.89,90.21,90.1,10.8,1.8,2.6,431265,9.8
96,10/17/2020,Month 16,16,6,2.385,2.505,4.4,95.2,2.679,2.560,99.86,95.20,95.1,5.0,1.8,2.6,431265,4.8
97,10/18/2020,Month 16,16,7,2.38,2.505,5.1,95,2.711,2.560,99.83,95.00,94.8,5.3,2.3,2.8,431265,5.0
98,10/19/2020,Month 16,16,8,2.369,2.505,5.1,94.6,2.711,2.560,99.81,94.56,94.4,5.7,2.3,2.8,431265,5.4
99,10/20/2020,Month 16,16,9,2.421,2.505,4.6,96.6,2.688,2.560,99.78,96.64,96.4,3.5,1.9,2.7,431265,3.4
100,10/21/2020,Month 16,16,10,2.361,2.505,4.6,94.2,2.688,2.560,99.76,94.24,94.0,6.1,1.9,2.7,431265,5.7
101,7/1/2021,Month 17,17,1,2.337,2.505,4.5,93.3,2.684,2.560,99.98,93.29,93.3,7.2,1.9,2.6,459348,6.7
102,7/2/2021,Month 17,17,2,2.326,2.505,4.5,92.9,2.684,2.560,99.95,92.85,92.8,7.7,1.9,2.6,459348,7.1
103,7/3/2021,Month 17,17,3,2.358,2.505,4.7,94.1,2.693,2.560,99.93,94.13,94.1,6.2,2.0,2.7,459348,5.9
104,7/4/2021,Month 17,17,4,2.342,2.505,4.7,93.5,2.693,2.560,99.91,93.49,93.4,7.0,2.0,2.7,459348,6.5
105,7/5/2021,Month 17,17,5,2.375,2.505,4.6,94.8,2.688,2.560,99.88,94.80,94.7,5.5,1.9,2.7,459348,5.2
106,7/6/2021,Month 17,17,6,2.392,2.505,4.6,95.5,2.688,2.560,99.86,95.48,95.3,4.7,1.9,2.7,459348,4.5
107,7/7/2021,Month 17,17,7,2.345,2.505,4.8,93.6,2.697,2.560,99.83,93.60,93.4,6.8,2.1,2.7,459348,6.4
108,7/8/2021,Month 17,17,8,2.371,2.505,4.8,94.7,2.697,2.560,99.81,94.64,94.5,5.6,2.1,2.7,459348,5.3
109,11/2/2021,Month 18,18,1,2.31,2.505,5,92.2,2.706,2.560,99.98,92.21,92.2,8.4,2.2,2.8,487567,7.8
110,11/3/2021,Month 18,18,2,2.301,2.505,4.8,91.9,2.697,2.560,99.95,91.85,91.8,8.9,2.1,2.7,487567,8.1
111,11/4/2021,Month 18,18,3,2.392,2.505,4.9,95.5,2.702,2.560,99.93,95.49,95.4,4.7,2.1,2.8,487567,4.5
112,11/5/2021,Month 18,18,4,2.388,2.505,4.6,95.3,2.688,2.560,99.90,95.32,95.2,4.9,1.9,2.7,487567,4.7
113,11/6/2021,Month 18,18,5,2.317,2.505,4.9,92.5,2.702,2.560,99.88,92.49,92.4,8.1,2.1,2.8,487567,7.5
114,11/7/2021,Month 18,18,6,2.338,2.505,4.8,93.3,2.697,2.560,99.86,93.32,93.2,7.1,2.1,2.7,487567,6.7
115,11/8/2021,Month 18,18,7,2.377,2.505,4.9,94.9,2.702,2.560,99.83,94.88,94.7,5.4,2.1,2.8,487567,5.1
116,11/9/2021,Month 18,18,8,2.338,2.505,4.9,93.3,2.702,2.560,99.81,93.32,93.1,7.1,2.1,2.8,487567,6.7
117,11/10/2021,Month 18,18,9,2.4,2.505,4.7,95.8,2.693,2.560,99.78,95.80,95.6,4.4,2.0,2.7,487567,4.2
118,11/11/2021,Month 18,18,10,2.35,2.505,4.9,93.8,2.702,2.560,99.76,93.80,93.6,6.6,2.1,2.8,487567,6.2
119,11/12/2021,Month 18,18,11,2.348,2.505,5,93.7,2.706,2.560,99.74,93.72,93.5,6.7,2.2,2.8,487567,6.3
120,11/13/2021,Month 18,18,12,2.358,2.505,4.8,94.1,2.697,2.560,99.71,94.11,93.8,6.2,2.1,2.7,487567,5.9
121,18-03-2021,Month 19,19,1,2.389,2.505,4.2,95.4,2.671,2.560,99.98,95.37,95.3,4.9,1.7,2.5,515924,4.6
122,18-03-2022,Month 19,19,2,2.342,2.505,4.4,93.5,2.680,2.560,99.95,93.49,93.4,7.0,1.8,2.6,515924,6.5
123,18-03-2023,Month 19,19,3,2.348,2.505,4.6,93.7,2.688,2.560,99.93,93.73,93.7,6.7,1.9,2.7,515924,6.3
124,18-03-2024,Month 19,19,4,2.353,2.505,4.6,93.9,2.686,2.560,99.91,93.93,93.8,6.5,1.9,2.6,515924,6.1
125,18-03-2025,Month 19,19,5,2.358,2.505,4.6,94.1,2.686,2.560,99.88,94.12,94.0,6.2,1.9,2.6,515924,5.9
126,18-03-2026,Month 19,19,6,2.375,2.505,4.6,94.8,2.687,2.560,99.86,94.80,94.7,5.5,1.9,2.7,515924,5.2
127,18-03-2027,Month 19,19,7,2.351,2.505,4.6,93.9,2.688,2.560,99.83,93.84,93.7,6.5,1.9,2.7,515924,6.1
128,18-03-2028,Month 19,19,8,2.337,2.505,4.6,93.3,2.690,2.560,99.81,93.28,93.1,7.2,2.0,2.7,515924,6.7
129,18-03-2029,Month 19,19,9,2.347,2.505,4.6,93.7,2.690,2.560,99.79,93.68,93.5,6.7,2.0,2.7,515924,6.3
130,18-03-2030,Month 19,19,10,2.344,2.505,4.5,93.6,2.685,2.560,99.76,93.56,93.3,6.9,1.9,2.6,515924,6.4
131,18-03-2031,Month 19,19,11,2.359,2.505,4.9,94.2,2.701,2.560,99.74,94.16,93.9,6.2,2.1,2.8,515924,5.8
132,18-03-2032,Month 19,19,12,2.351,2.505,4.6,93.9,2.688,2.560,99.72,93.83,93.6,6.5,1.9,2.7,515924,6.1
133,7/10/2021,Month 23,23,1,2.297,2.505,4.8,94.9,2.696,2.560,99.98,91.70,91.7,8.7,2.1,2.7,630739,8.3
134,7/11/2021,Month 23,23,2,2.343,2.505,4.9,95.9,2.700,2.560,99.95,93.53,93.5,6.7,2.1,2.8,630739,6.5
135,7/12/2021,Month 23,23,3,2.355,2.505,5.0,96.9,2.704,2.560,99.93,94.02,94.0,6.2,2.2,2.8,630739,6.0
136,7/13/2021,Month 23,23,4,2.429,2.505,4.9,97.9,2.700,2.560,99.90,96.98,96.9,3.1,2.1,2.8,630739,3.0
137,7/14/2021,Month 23,23,5,2.388,2.505,5.0,98.9,2.706,2.560,99.88,95.33,95.2,4.7,2.2,2.8,630739,4.7
138,7/15/2021,Month 23,23,6,2.385,2.505,4.8,99.9,2.699,2.560,99.86,95.19,95.1,4.8,2.1,2.8,630739,4.8
139,7/16/2021,Month 23,23,7,2.370,2.505,5.0,100.9,2.706,2.560,99.83,94.60,94.4,5.3,2.2,2.8,630739,5.4
140,7/17/2021,Month 23,23,8,2.323,2.505,4.8,101.9,2.698,2.560,99.81,92.73,92.6,7.1,2.1,2.7,630739,7.3
141,8/10/2021,Month 24,24,1,2.314,2.505,4.6,102.9,2.688,2.560,99.98,92.36,92.3,7.4,1.9,2.7,659792,7.6
142,8/11/2021,Month 24,24,2,2.337,2.505,4.7,103.9,2.691,2.560,99.95,93.28,93.2,6.5,2.0,2.7,659792,6.7
143,8/12/2021,Month 24,24,3,2.368,2.505,4.7,104.9,2.693,2.560,99.93,94.54,94.5,5.2,2.0,2.7,659792,5.5
144,8/13/2021,Month 24,24,4,2.329,2.505,4.7,105.9,2.693,2.560,99.91,92.96,92.9,6.6,2.0,2.7,659792,7.0
145,8/14/2021,Month 24,24,5,2.382,2.505,5.1,106.9,2.709,2.560,99.88,95.10,95.0,4.6,2.2,2.8,659792,4.9
146,8/15/2021,Month 24,24,6,2.330,2.505,4.5,107.9,2.682,2.560,99.86,92.99,92.9,6.5,1.9,2.6,659792,7.0
147,9/15/2021,Month 25,25,1,2.330,2.505,4.7,108.9,2.692,2.560,99.98,93.00,93.0,6.4,2.0,2.7,688987,7.0
148,9/16/2021,Month 25,25,2,2.394,2.505,4.4,109.9,2.679,2.560,99.95,95.58,95.5,4.0,1.8,2.6,688987,4.4
149,9/17/2021,Month 25,25,3,2.328,2.505,4.8,110.9,2.697,2.560,99.93,92.93,92.9,6.4,2.1,2.7,688987,7.1
150,9/18/2021,Month 25,25,4,2.355,2.505,4.7,111.9,2.692,2.560,99.90,94.01,93.9,5.4,2.0,2.7,688987,6.0
151,9/19/2021,Month 25,25,5,2.356,2.505,4.7,112.9,2.693,2.560,99.88,94.03,93.9,5.3,2.0,2.7,688987,6.0
152,9/20/2021,Month 25,25,6,2.388,2.505,4.7,113.9,2.693,2.560,99.86,95.32,95.2,4.1,2.0,2.7,688987,4.7
153,10/22/2021,Month 26,26,1,2.337,2.505,4.5,114.9,2.683,2.560,99.98,93.31,93.3,5.8,1.9,2.6,718325,6.7
154,10/23/2021,Month 26,26,2,2.347,2.505,4.5,115.9,2.683,2.560,99.95,93.68,93.6,5.4,1.9,2.6,718325,6.3
155,10/24/2021,Month 26,26,3,2.259,2.505,4.4,116.9,2.681,2.560,99.93,90.19,90.1,8.4,1.8,2.6,718325,9.8
156,10/25/2021,Month 26,26,4,2.282,2.505,4.4,117.9,2.681,2.560,99.91,91.10,91.0,7.5,1.8,2.6,718325,8.9
157,10/26/2021,Month 26,26,5,2.347,2.505,4.5,118.9,2.684,2.560,99.88,93.69,93.6,5.3,1.9,2.6,718325,6.3
158,10/27/2021,Month 26,26,6,2.357,2.505,4.5,119.9,2.684,2.560,99.86,94.08,93.9,4.9,1.9,2.6,718325,5.9
159,10/28/2021,Month 26,26,7,2.336,2.505,4.5,120.9,2.684,2.560,99.83,93.24,93.1,5.6,1.9,2.6,718325,6.7
160,10/29/2021,Month 26,26,8,2.322,2.505,4.5,121.9,2.684,2.560,99.81,92.66,92.5,6.0,1.9,2.6,718325,7.3
161,11/26/2021,Month 27,27,1,2.324,2.505,4.6,122.9,2.687,2.560,99.98,92.76,92.7,5.9,1.9,2.7,747805,7.2
162,11/27/2021,Month 27,27,2,2.315,2.505,4.6,123.9,2.687,2.560,99.95,92.43,92.4,6.1,1.9,2.7,747805,7.6
163,11/28/2021,Month 27,27,3,2.389,2.505,4.5,124.9,2.684,2.560,99.93,95.35,95.3,3.7,1.9,2.6,747805,4.6
164,11/29/2021,Month 27,27,4,2.344,2.505,4.5,125.9,2.684,2.560,99.91,93.57,93.5,5.1,1.9,2.6,747805,6.4
165,11/30/2021,Month 27,27,5,2.368,2.505,4.5,126.9,2.686,2.560,99.88,94.51,94.4,4.3,1.9,2.6,747805,5.5
166,12/1/2021,Month 27,27,6,2.373,2.505,4.5,127.9,2.684,2.560,99.86,94.74,94.6,4.1,1.9,2.6,747805,5.2
167,12/2/2021,Month 27,27,7,2.352,2.505,4.5,128.9,2.684,2.560,99.83,93.90,93.7,4.7,1.9,2.6,747805,6.1
168,12/3/2021,Month 27,27,8,2.400,2.505,4.5,129.9,2.684,2.560,99.81,95.80,95.6,3.2,1.9,2.6,747805,4.2
169,7/5/2022,Month 35,35,1,2.413,2.505,5.3,130.9,2.718,2.560,99.98,96.34,96.3,2.8,2.4,2.9,988870,3.7
170,7/6/2022,Month 35,35,2,2.343,2.505,5.0,131.9,2.705,2.560,99.95,93.52,93.5,4.9,2.2,2.8,988870,6.5
171,7/7/2022,Month 35,35,3,2.386,2.505,5.2,132.9,2.715,2.560,99.93,95.26,95.2,3.6,2.3,2.9,988870,4.7
172,7/8/2022,Month 35,35,4,2.310,2.505,5.0,133.9,2.705,2.560,99.91,92.20,92.1,5.8,2.2,2.8,988870,7.8
173,7/9/2022,Month 35,35,5,2.344,2.505,5.1,134.9,2.711,2.560,99.88,93.56,93.5,4.8,2.3,2.8,988870,6.4
174,7/10/2022,Month 35,35,6,2.353,2.505,5.0,135.9,2.705,2.560,99.86,93.91,93.8,4.5,2.2,2.8,988870,6.1
175,7/11/2022,Month 35,35,7,2.387,2.505,5.0,136.9,2.705,2.560,99.83,95.29,95.1,3.4,2.2,2.8,988870,4.7
176,7/12/2022,Month 35,35,8,2.373,2.505,4.6,137.9,2.689,2.560,99.81,94.72,94.5,3.8,2.0,2.7,988870,5.3
177,7/13/2022,Month 35,35,9,2.372,2.505,5,138.9,2.706,2.560,99.78,94.67,94.5,3.8,2.2,2.8,988870,5.3
178,7/14/2022,Month 35,35,10,2.310,2.505,5,139.9,2.706,2.560,99.77,92.20,92.0,5.6,2.2,2.8,988870,7.8
